Department,Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
Tuscaloosa Police Dept,90468,5336.7,1616,3523.9,196.8,496.3,244.3,7.7,34.3,210,Alabama,4828,1462,3188,178,449,221,7,31,190,2010
Tuscaloosa Police Dept,90903,4842.5,1374,3259.5,209,475.2,215.6,3.3,42.9,213.4,Alabama,4402,1249,2963,190,432,196,3,39,194,2011
Tuscaloosa Police Dept,91973,4728.6,1285.2,3223.8,219.6,519.7,290.3,4.3,40.2,184.8,Alabama,4349,1182,2965,202,478,267,4,37,170,2012
Vestavia Hills Police Dept,15878,2210.6,352.7,1624.9,233,132.3,81.9,6.3,6.3,37.8,Alabama,351,56,258,37,21,13,1,1,6,1984
Vestavia Hills Police Dept,16001,2568.6,362.5,1968.6,237.5,125,81.2,0,12.5,31.2,Alabama,411,58,315,38,20,13,0,2,5,1985
Vestavia Hills Police Dept,16101,3434.6,819.8,2347.7,267.1,186.3,124.2,0,0,62.1,Alabama,553,132,378,43,30,20,0,0,10,1986
Vestavia Hills Police Dept,17431,2857,688.4,2030.9,137.7,154.9,91.8,5.7,5.7,51.6,Alabama,498,120,354,24,27,16,1,1,9,1987
Vestavia Hills Police Dept,17497,2709,720.1,1868.9,120,142.9,68.6,0,11.4,62.9,Alabama,474,126,327,21,25,12,0,2,11,1988
Vestavia Hills Police Dept,17728,2070.2,552.8,1365.1,152.3,95.9,45.1,5.6,5.6,39.5,Alabama,367,98,242,27,17,8,1,1,7,1989
Vestavia Hills Police Dept,19749,1746.9,425.3,1240.6,81,96.2,45.6,0,0,50.6,Alabama,345,84,245,16,19,9,0,0,10,1990
Vestavia Hills Police Dept,19985,1536.2,335.3,1075.8,125.1,85.1,35,0,5,45,Alabama,307,67,215,25,17,7,0,1,9,1991
Vestavia Hills Police Dept,20214,1197.2,252.3,850.9,94,34.6,0,0,0,34.6,Alabama,242,51,172,19,7,0,0,0,7,1992
Vestavia Hills Police Dept,20434,1101.1,195.8,778.1,127.2,34.3,0,0,0,34.3,Alabama,225,40,159,26,7,0,0,0,7,1993
Vestavia Hills Police Dept,20590,1369.6,247.7,1015.1,106.8,97.1,0,0,4.9,92.3,Alabama,282,51,209,22,20,0,0,1,19,1994
Vestavia Hills Police Dept,20014,1359,289.8,959.3,109.9,99.9,5,0,5,89.9,Alabama,272,58,192,22,20,1,0,1,18,1995
Vestavia Hills Police Dept,20108,1422.3,258.6,974.7,189,79.6,14.9,0,5,59.7,Alabama,286,52,196,38,16,3,0,1,12,1996
Vestavia Hills Police Dept,20324,1082.5,275.5,693.8,113.2,54.1,34.4,0,4.9,14.8,Alabama,220,56,141,23,11,7,0,1,3,1997
Vestavia Hills Police Dept,20468,1382.6,302.9,982,97.7,39.1,14.7,0,0,24.4,Alabama,283,62,201,20,8,3,0,0,5,1998
Vestavia Hills Police Dept,21928,1076.2,237.1,766.1,73,54.7,22.8,0,0,31.9,Alabama,236,52,168,16,12,5,0,0,7,1999
Vestavia Hills Police Dept,24476,1380.9,232.9,1050,98.1,57.2,32.7,0,8.2,16.3,Alabama,338,57,257,24,14,8,0,2,4,2000
Vestavia Hills Police Dept,24571,1086.6,187.2,805.8,93.6,93.6,52.9,0,8.1,32.6,Alabama,267,46,198,23,23,13,0,2,8,2001
Vestavia Hills Police Dept,24693,1219,247,866.6,105.3,89.1,64.8,0,8.1,16.2,Alabama,301,61,214,26,22,16,0,2,4,2002
Vestavia Hills Police Dept,25734,1278.5,295.3,851,132.1,112.7,69.9,0,7.8,35,Alabama,329,76,219,34,29,18,0,2,9,2003
Vestavia Hills Police Dept,31111,948.2,247.5,543.2,157.5,125.4,48.2,0,3.2,73.9,Alabama,295,77,169,49,39,15,0,1,23,2004
Vestavia Hills Police Dept,31201,855.7,298.1,484,73.7,99.4,51.3,0,12.8,35.3,Alabama,267,93,151,23,31,16,0,4,11,2005
Vestavia Hills Police Dept,31303,916.8,281.1,549.5,86.3,115,47.9,0,12.8,54.3,Alabama,287,88,172,27,36,15,0,4,17,2006
Vestavia Hills Police Dept,31097,948.6,295.8,585.3,67.5,70.7,35.4,0,16.1,19.3,Alabama,295,92,182,21,22,11,0,5,6,2007
Vestavia Hills Police Dept,31055,1056.2,341.3,656.9,58,90.2,38.6,0,9.7,41.9,Alabama,328,106,204,18,28,12,0,3,13,2008
Vestavia Hills Police Dept,30906,1248.9,501.5,686,61.5,74.4,35.6,0,6.5,32.4,Alabama,386,155,212,19,23,11,0,2,10,2009
Vestavia Hills Police Dept,34033,1560.3,141,1304.6,114.6,52.9,29.4,2.9,5.9,14.7,Alabama,531,48,444,39,18,10,1,2,5,2010
Vestavia Hills Police Dept,34197,1532.3,342.1,1099.5,90.7,73.1,40.9,0,11.7,20.5,Alabama,524,117,376,31,25,14,0,4,7,2011
Vestavia Hills Police Dept,34195,1476.8,295.4,1123,58.5,64.3,35.1,0,0,29.2,Alabama,505,101,384,20,22,12,0,0,10,2012
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,365,126,198,41,39,30,0,4,5,1984
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,365,151,164,50,34,25,1,4,4,1985
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,182,90,70,22,11,8,1,0,2,1986
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,406,174,191,41,21,10,0,3,8,1987
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,474,200,242,32,14,5,1,1,7,1988
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,545,187,302,56,13,5,0,3,5,1989
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,508,178,274,56,12,5,0,1,6,1990
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,405,188,164,53,6,5,1,0,0,1991
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,414,166,206,42,4,0,1,0,3,1992
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,284,110,142,32,5,0,0,1,4,1993
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,320,115,171,34,4,1,0,0,3,1994
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,100,41,38,21,0,0,0,0,0,1995
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,65,23,28,14,6,4,0,1,1,1996
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,121,53,40,28,6,2,0,0,4,1997
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,87,38,37,12,3,1,0,0,2,1998
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,174,83,76,15,9,2,2,2,3,1999
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,120,57,49,14,4,3,0,0,1,2000
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,134,47,72,15,5,4,0,1,0,2001
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1055,458,496,101,36,23,0,0,13,2002
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1379,545,701,133,56,36,0,3,17,2003
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1014,351,566,97,39,20,1,4,14,2004
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,532,196,319,17,21,16,0,4,1,2006
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,688,222,442,24,26,20,0,3,3,2007
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,1024,279,673,72,46,23,1,8,14,2008
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,504,127,324,53,22,9,0,5,8,2009
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,326,78,194,54,3,3,0,0,0,2010
Walker County Sheriff Department,0,0,0,0,0,0,0,0,0,0,Alabama,935,370,495,70,99,87,0,5,7,2012
Anchorage Police Dept,229579,5853.3,1259.7,3987.3,606.3,515.7,264,6.1,84.1,161.6,Alaska,13438,2892,9154,1392,1184,606,14,193,371,1985
Anchorage Police Dept,238235,6414.3,1185.4,4647.1,581.8,502.9,287.1,7.1,70.1,138.5,Alaska,15281,2824,11071,1386,1198,684,17,167,330,1986
Anchorage Police Dept,231039,5506,914.6,4108,483.5,443.6,247.1,6.5,66.7,123.4,Alaska,12721,2113,9491,1117,1025,571,15,154,285,1987
Anchorage Police Dept,217429,5248.6,869.2,3835.7,543.6,516,307.7,6,73.1,129.2,Alaska,11412,1890,8340,1182,1122,669,13,159,281,1988
Anchorage Police Dept,223363,4962.8,764.7,3679.7,518.4,506.4,317.4,4.9,62.2,121.8,Alaska,11085,1708,8219,1158,1131,709,11,139,272,1989
Anchorage Police Dept,226338,5159.1,910.1,3571.2,677.7,587.6,338.9,4.4,89.7,154.6,Alaska,11677,2060,8083,1534,1330,767,10,203,350,1990
Anchorage Police Dept,234571,5975.6,1061.1,4249,665.5,711.5,357.2,10.7,112.5,231.1,Alaska,14017,2489,9967,1561,1669,838,25,264,542,1991
Anchorage Police Dept,241565,6240.1,1097,4476.2,666.9,815.9,503.8,7,104.7,200.4,Alaska,15074,2650,10813,1611,1971,1217,17,253,484,1992
Anchorage Police Dept,250720,5554.8,749.8,4251.8,553.2,882.7,562.4,9.2,84.6,226.5,Alaska,13927,1880,10660,1387,2213,1410,23,212,568,1993
Anchorage Police Dept,253667,6380,897.2,4619,863.7,976.9,602.8,8.7,78.1,287.4,Alaska,16184,2276,11717,2191,2478,1529,22,198,729,1994
Anchorage Police Dept,253500,6230.8,994.5,4399.2,837.1,990.1,576.7,11.4,95.5,306.5,Alaska,15795,2521,11152,2122,2510,1462,29,242,777,1995
Anchorage Police Dept,254774,5534.3,923.6,3989,621.7,815.6,509.1,9.8,77.7,219,Alaska,14100,2353,10163,1584,2078,1297,25,198,558,1996
Anchorage Police Dept,255634,5232.5,755.4,3944.3,532.8,738.9,465.9,9,68.1,196,Alaska,13376,1931,10083,1362,1889,1191,23,174,501,1997
Anchorage Police Dept,254250,4614.4,636,3474.5,503.8,641.9,415.3,7.5,72.4,146.7,Alaska,11732,1617,8834,1281,1632,1056,19,184,373,1998
Anchorage Police Dept,257762,4370.3,598.6,3286.4,485.3,652.9,429.1,7.4,62.1,154.4,Alaska,11265,1543,8471,1251,1683,1106,19,160,398,1999
Anchorage Police Dept,260283,4357.6,589,3380.6,388,585.5,373.8,3.8,74.9,132.9,Alaska,11342,1533,8799,1010,1524,973,10,195,346,2000
Anchorage Police Dept,263588,4350,609.3,3280.9,459.8,663.2,434,3.8,79.7,145.7,Alaska,11466,1606,8648,1212,1748,1144,10,210,384,2001
Anchorage Police Dept,267280,4470.6,569.1,3462.7,438.9,643.9,399.2,6.7,95,142.9,Alaska,11949,1521,9255,1173,1721,1067,18,254,382,2002
Anchorage Police Dept,271085,4318.2,523.1,3353.6,441.6,643.3,421.6,6.3,90,125.4,Alaska,11706,1418,9091,1197,1744,1143,17,244,340,2003
Anchorage Police Dept,273714,3617.3,556.4,2686.7,374.1,790.6,568.1,5.5,96.1,120.9,Alaska,9901,1523,7354,1024,2164,1555,15,263,331,2004
Anchorage Police Dept,276109,4116.1,645.8,2987.2,483.1,735.6,509.6,5.8,81.1,139.1,Alaska,11365,1783,8248,1334,2031,1407,16,224,384,2005
Anchorage Police Dept,277692,4220.9,624.1,3076.4,520.4,933.4,670.5,6.1,89.3,167.5,Alaska,11721,1733,8543,1445,2592,1862,17,248,465,2006
Anchorage Police Dept,284142,3909,511.7,2955.2,442,846.4,588.8,7.7,90.4,159.4,Alaska,11107,1454,8397,1256,2405,1673,22,257,453,2007
Anchorage Police Dept,280068,3288.8,425.3,2590.1,273.5,945.1,653.4,3.6,93.9,194.2,Alaska,9211,1191,7254,766,2647,1830,10,263,544,2008
Anchorage Police Dept,283300,3641.4,569.4,2765.6,306.4,878.2,585.2,4.9,99.5,188.5,Alaska,10316,1613,7835,868,2488,1658,14,282,534,2009
Anchorage Police Dept,291826,3500,419.1,2802.4,278.6,833.4,582.9,4.5,90.5,155.6,Alaska,10214,1223,8178,813,2432,1701,13,264,454,2010
Anchorage Police Dept,296955,3184,363.7,2609.8,210.5,804.2,548.2,4,95.3,156.6,Alaska,9455,1080,7750,625,2388,1628,12,283,465,2011
Anchorage Police Dept,299143,3524.4,387.1,2859.5,277.8,828.7,559.3,5,101.3,163.1,Alaska,10543,1158,8554,831,2479,1673,15,303,488,2012
Fairbanks Police Dept,28538,8819.8,1194.9,6731.4,893.5,595.7,392.5,17.5,31.5,154.2,Alaska,2517,341,1921,255,170,112,5,9,44,1985
Fairbanks Police Dept,27973,9051.6,1208.3,6999.6,843.7,779.3,536.2,17.9,71.5,153.7,Alaska,2532,338,1958,236,218,150,5,20,43,1986
Fairbanks Police Dept,66461,3466.7,528.1,2600,338.5,252.8,146,0,58.7,48.1,Alaska,2304,351,1728,225,168,97,0,39,32,1987
Fairbanks Police Dept,67495,3118.7,431.1,2415,272.6,379.3,281.5,1.5,26.7,69.6,Alaska,2105,291,1630,184,256,190,1,18,47,1988
Fairbanks Police Dept,69337,2924.8,504.8,2164.8,255.3,330.3,246.6,1.4,26,56.2,Alaska,2028,350,1501,177,229,171,1,18,39,1989
Fairbanks Police Dept,30843,6484.5,862.4,4808.2,813.8,622.5,424.7,13,94,90.8,Alaska,2000,266,1483,251,192,131,4,29,28,1990
Fairbanks Police Dept,31961,8069.2,1245.3,5882.2,941.8,832.3,550.7,3.1,150.2,128.3,Alaska,2579,398,1880,301,266,176,1,48,41,1991
Fairbanks Police Dept,32914,6283,741.3,4806.5,735.2,1039.1,610.7,6.1,182.3,240,Alaska,2068,244,1582,242,342,201,2,60,79,1992
Fairbanks Police Dept,33842,5768,741.7,4314.2,712.1,750.5,422.6,17.7,73.9,236.4,Alaska,1952,251,1460,241,254,143,6,25,80,1993
Fairbanks Police Dept,34237,5350.9,753.6,3978.2,619.2,689.3,426.4,11.7,61.3,189.9,Alaska,1832,258,1362,212,236,146,4,21,65,1994
Fairbanks Police Dept,34207,5572,815.6,4297.4,459,701.6,464.8,5.8,70.2,160.8,Alaska,1906,279,1470,157,240,159,2,24,55,1995
Fairbanks Police Dept,34377,6350.2,770.9,4962.6,616.7,1192.7,945.4,8.7,66.9,171.6,Alaska,2183,265,1706,212,410,325,3,23,59,1996
Fairbanks Police Dept,34490,5158,600.2,3763.4,794.4,939.4,733.5,17.4,52.2,136.3,Alaska,1779,207,1298,274,324,253,6,18,47,1997
Fairbanks Police Dept,33453,3924.9,562,2789,573.9,1100.1,869.9,12,83.7,134.5,Alaska,1313,188,933,192,368,291,4,28,45,1998
Fairbanks Police Dept,33593,3423.3,485.2,2214.7,723.4,1077.6,759.1,8.9,136.9,172.7,Alaska,1150,163,744,243,362,255,3,46,58,1999
Fairbanks Police Dept,30224,4876.9,645.2,3583.2,648.5,681.6,347.4,6.6,198.5,129,Alaska,1474,195,1083,196,206,105,2,60,39,2000
Fairbanks Police Dept,30608,4518.4,676.3,3182.2,660,699.2,408.4,9.8,183,98,Alaska,1383,207,974,202,214,125,3,56,30,2001
Fairbanks Police Dept,31037,4259.4,728.2,3106,425.3,915,679.8,9.7,119.2,106.3,Alaska,1322,226,964,132,284,211,3,37,33,2002
Fairbanks Police Dept,31021,5032.1,873.6,3733,425.5,931.6,647.9,12.9,135.4,135.4,Alaska,1561,271,1158,132,289,201,4,42,42,2003
Fairbanks Police Dept,31286,4804.1,716,3624.6,463.5,738.3,412.3,6.4,172.6,147,Alaska,1503,224,1134,145,231,129,2,54,46,2004
Fairbanks Police Dept,30817,5149.8,736.6,3747.9,665.2,993,623,6.5,152.5,210.9,Alaska,1587,227,1155,205,306,192,2,47,65,2005
Fairbanks Police Dept,31626,5112.9,939.1,3677.4,496.4,847.4,483.8,3.2,211.9,148.6,Alaska,1617,297,1163,157,268,153,1,67,47,2006
Fairbanks Police Dept,31287,4340.5,754.3,3058.8,527.4,824.6,537,16,137.4,134.2,Alaska,1358,236,957,165,258,168,5,43,42,2007
Fairbanks Police Dept,35131,3384.5,401.4,2621.6,361.5,774.2,569.3,8.5,116.7,79.7,Alaska,1189,141,921,127,272,200,3,41,28,2008
Fairbanks Police Dept,35735,3903.7,534.5,3114.6,254.7,750,456.1,0,165.1,128.7,Alaska,1395,191,1113,91,268,163,0,59,46,2009
Fairbanks Police Dept,31535,4334.9,472.5,3542.1,320.3,900.6,574,0,222,104.6,Alaska,1367,149,1117,101,284,181,0,70,33,2010
Fairbanks Police Dept,32089,3839.3,405.1,3197.4,236.8,551.6,389.5,6.2,53,102.8,Alaska,1232,130,1026,76,177,125,2,17,33,2011
Fairbanks Police Dept,32423,4253.2,400.9,3506.8,345.4,521.2,308.4,9.3,89.4,114.1,Alaska,1379,130,1137,112,169,100,3,29,37,2012
Juneau Police Dept,24106,2360.4,261.3,1953.9,145.2,211.6,186.7,8.3,8.3,8.3,Alaska,569,63,471,35,51,45,2,2,2,1985
Juneau Police Dept,24990,3173.3,496.2,2501,176.1,292.1,260.1,0,16,16,Alaska,793,124,625,44,73,65,0,4,4,1986
Juneau Police Dept,24579,4418.4,610.3,3588.4,219.7,118,97.6,0,16.3,4.1,Alaska,1086,150,882,54,29,24,0,4,1,1987
Juneau Police Dept,25689,3822.6,622.8,3013,186.9,179.1,116.8,11.7,31.1,19.5,Alaska,982,160,774,48,46,30,3,8,5,1988
Juneau Police Dept,26390,3918.2,432,3255,231.1,98.5,68.2,3.8,18.9,7.6,Alaska,1034,114,859,61,26,18,1,5,2,1989
Juneau Police Dept,26751,3648.5,418.7,2953.2,276.6,119.6,82.2,7.5,29.9,0,Alaska,976,112,790,74,32,22,2,8,0,1990
Juneau Police Dept,27721,3639.8,357.1,2972.5,310.2,400.4,371.6,0,21.6,7.2,Alaska,1009,99,824,86,111,103,0,6,2,1991
Juneau Police Dept,28547,3884.8,406.3,3240.3,238.2,87.6,70.1,0,10.5,7,Alaska,1109,116,925,68,25,20,0,3,2,1992
Juneau Police Dept,28894,3613.2,443,2966,204.2,114.2,62.3,0,41.5,10.4,Alaska,1044,128,857,59,33,18,0,12,3,1993
Juneau Police Dept,29231,2986.6,147.1,2750.5,88.9,20.5,20.5,0,0,0,Alaska,873,43,804,26,6,6,0,0,0,1994
Juneau Police Dept,28805,0,0,0,0,0,0,0,0,0,Alaska,0,0,0,0,0,0,0,0,0,1996
Juneau Police Dept,31537,0,0,0,0,0,0,0,0,0,Alaska,733,60,644,29,83,64,0,16,3,2002
Juneau Police Dept,30991,3988.3,319.4,3565.6,103.3,313,180.7,0,116.2,16.1,Alaska,1236,99,1105,32,97,56,0,36,5,2003
Juneau Police Dept,31505,4386.6,517.4,3748.6,120.6,422.2,276.1,0,123.8,22.2,Alaska,1382,163,1181,38,133,87,0,39,7,2004
Juneau Police Dept,31509,4113.1,396.7,3567.2,149.2,428.4,288.8,0,95.2,44.4,Alaska,1296,125,1124,47,135,91,0,30,14,2005
Juneau Police Dept,31285,4714.7,620.1,3915.6,179,393.2,255.7,6.4,102.3,28.8,Alaska,1475,194,1225,56,123,80,2,32,9,2006
Juneau Police Dept,30746,4436.3,565.9,3698,172.4,409.8,279.7,3.3,71.6,55.3,Alaska,1364,174,1137,53,126,86,1,22,17,2007
Juneau Police Dept,30692,3782.7,459.4,3173.5,149.9,397.5,280.2,0,88,29.3,Alaska,1161,141,974,46,122,86,0,27,9,2008
Juneau Police Dept,31024,4660.9,857.4,3681,122.5,454.5,315.9,0,80.6,58,Alaska,1446,266,1142,38,141,98,0,25,18,2009
Juneau Police Dept,31275,4869.7,578.7,4089.5,201.4,425.3,284.6,3.2,63.9,73.5,Alaska,1523,181,1279,63,133,89,1,20,23,2010
Juneau Police Dept,31825,3849.2,348.8,3377.8,122.5,499.6,377.1,0,44,78.6,Alaska,1225,111,1075,39,159,120,0,14,25,2011
Juneau Police Dept,32553,3376,288.8,2995.1,92.2,353.3,276.5,0,27.6,49.2,Alaska,1099,94,975,30,115,90,0,9,16,2012
Tucson Police Dept,381473,9053.3,2598.9,5920.7,533.7,973.3,611.6,8.4,77.9,275.5,Arizona,34536,9914,22586,2036,3713,2333,32,297,1051,1985
Tucson Police Dept,397023,8865,2412.2,5921.6,531.2,917.8,581.8,10.3,63.2,262.5,Arizona,35196,9577,23510,2109,3644,2310,41,251,1042,1986
Tucson Police Dept,374546,10357.3,2123.6,7712.8,520.9,940.6,616.2,6.1,75,243.2,Arizona,38793,7954,28888,1951,3523,2308,23,281,911,1987
